Data,Nº Nota Fiscal,Placa,Fornecedor,Km Inicial,Km Final,Km Total,Qtde. Litros,Média,Peso,Média Peso,Desconto,Valor Total,Centro de Custo,Plano de Contas
1/28/2025,,QIZ-3E10,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,549121,550186,1065,"636,49","1,67","0,00","0,00","R$ 0,00 ","R$ 3.793,46 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/28/2025,,SOC-0G05,RPMP COMERCIO DE COMBUSTIVEIS LTDA,73024,73807,783,"191,40","4,09","0,00","0,00","R$ 0,00 ","R$ 1.117,75 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/28/2025,,PES-6F45,MARIAH COMERCIO DE COMBUSTIVEIS LTDA,1137898,1139136,1238,"535,46","2,31","0,00","0,00","R$ 0,00 ","R$ 3.153,86 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/29/2025,,SNO-6F99,RPMP COMERCIO DE COMBUSTIVEIS LTDA,123028,124304,1276,"565,13","2,26","0,00","0,00","R$ 0,00 ","R$ 3.300,38 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/29/2025,,PFB-2A13,JH COMBUSTIVEIS LTDA,1051307,1052823,1516,"303,11","5,00","0,00","0,00","R$ 0,00 ","R$ 1.755,03 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/30/2025,,SOC-0G05,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,71929,73024,1095,"474,56","2,31","0,00","0,00","R$ 0,00 ","R$ 2.795,17 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/30/2025,,EGJ-4B71,POSTO XINGU LTDA,651344,651726,382,"100,00","3,82","0,00","0,00","R$ 0,00 ","R$ 599,02 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/31/2025,,PES-6F45,AUTO POSTO DE COMBUSTIVEIS RIBEIRAO LTDA,1139136,1140577,1441,"200,00","7,20","0,00","0,00","R$ 0,00 ","R$ 1.178,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/31/2025,,PES-6F45,,1140577,1140732,155,"441,20","0,35","0,00","0,00","R$ 0,00 ","R$ 2.642,79 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/1/2025,,EGJ-4B71,ESCADA COMERCIAL DE COMBUSTIVEIS DOMINGOS LTDA,651726,651966,240,"300,00","0,80","0,00","0,00","R$ 0,00 ","R$ 1.767,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
